msno,song_id,source_system_tab,source_screen_name,source_type,target
8cozABQAnBfeVK1dZ8/hhPNrF+dIqrSR4vF7pRxf6nM=,PPtTH+Wx2BFrUhxYJkRXyfafyHSSl/OexhRFyhwqajo=,my library,Album more,album,1
1A20acjHHwJpKBw5Y04IGMxHxKTIISrmuzS4K+/9rdM=,qqSwRkEEupyglXAJQfkXOQR9feE0CcI3IEmY4MB/QQE=,my library,Local playlist more,local-library,0
jqS4N7VSNz5tbFb7ZahLs/mQ+uEl5VkqRa8rXgghCfI=,9a7uWZS16gr/wu9WZaAbCpjFO8lyxxTBPbbG8iuKMdY=,my library,Local playlist more,local-playlist,1
0X3uXqsjx1zgdf0fWs4yd7ZAleoZxHUxg2fJ7d3oX2Q=,uMHns2OzYJW1eFgyoK8fqoXJ3aQ/zCCuCEYkHUfhpas=,discover,Discover Feature,song-based-playlist,0
itAZY7wJkeQUqDHGgrCi3G5tHAXYa2dbO65ax76JVBs=,9YcNMJXXb0wesI7hg9uBjIBr/y4/eKEVALYJYTyO4EQ=,my library,Local playlist more,local-library,0
M4XR8Vsu1mbUdMJilXWdsGgwcJSOZZfOaFyndC0z+q8=,yciKx3VagNk6RuCqe0KbTbwl+cWXKVYWAeI8UFe9Dfw=,discover,Online playlist more,online-playlist,0
VEQ9s/CGIGBn/4Q2fN7hVsiWX1NcNKJy5hBmwvjNEMs=,C9wSqzSJjlYDAwWNvIj0wtlCH0vShoex/xc3gmowmQg=,my library,Artist more,top-hits-for-artist,0
s9+y7EkVuB2A3Ej64HQWdO/xL2X2gkdnEEsff+JG8mA=,OxRFte9PigecV9cFlPxNUQ/rUKB62FsrgXIvanFUDrM=,my library,Local playlist more,local-playlist,0
7H8Teyq/bk0vHVwbjT2+Otaz8vHTgdJHmfxwYm2P/K8=,Z3Sj5pzO6ZD8Nsm4/3TtI1ffGe7tOozpmYeYrdnIM14=,my library,Online playlist more,online-playlist,1
3J7599irV9U8eiETOfMeTkD7Nr/FObQBtN+au7ecY6Q=,/fNJa0hDRcmzCSAerK7AJmEpN3aeqhy1VLbZGTkT9mU=,my library,,local-library,0
9pcu+EIvAi77b+qiJDaZHjtj8IydWJA4rPsnfj+O0wg=,JVF3QBHE8T1vtOG/FHGDJnGVVuKsiTsrYWbCS30/2bM=,radio,Radio,radio,0
V7Ht1yWPumGYRziUsfH0Pd8PVBz0kIagCHTVBT0r+4A=,Y0mw/kuuQeKXQGF6gZlQxVciauDW5OUEelycwxLHtP8=,my library,Online playlist more,online-playlist,1
Uvk6iqy69qqp+/MSyq1Jzqx66jPQDhHY6T3U7ij4PyQ=,G0rUz0kguI35yzj95LX2BXI30PqCcJJtPNfirR0BhIs=,radio,Radio,radio,0
aMB9nC9PVKXsk/K++qMMG0in0dvk2XiUFuAnr10qiac=,cH0Bu+IqFWbUUjBBcuI64ozMmJvdK6vD9Sj+RJ6t0BE=,my library,Album more,album,0
OOYfgSVr68Hkox/G+7n5I4feenLUMxXNaK6m7ySC1iM=,4L6EJ0kDms7ETLSPvIag04FqAwwwHou3PXAazXw2hig=,my library,Online playlist more,online-playlist,0
4E+fxSftd6JX6JPT0sdTEdRBX6CJXjcIr1mqAogDDMY=,I0v4xjEZ2y8bFXc1KKDaJIOlVQMy8h0UjJD9U75dbm8=,my library,Local playlist more,local-library,1
1/RsPQaSqJUCS2MmnYtcWMLG69C0l2q6Y2aXolw57yw=,U9kojfZSKaiWOW94PKh1Riyv/zUWxmBRmv0XInQWLGw=,my library,Local playlist more,local-library,1
vf72WjMnAjr9ELP36xOjbCXhXQTk2qCQ1MW56xKT12s=,ra6TLz6Y37OSFOqg4aCvjV7nalatCwZdQvoJRMwSNvk=,discover,Discover Feature,online-playlist,0
e/wwpEwQmfZg3XssTNJfNtrz3b2Nz5wVyVebn3rzvVA=,SHV52/0W8kZcf3uJZF9+ZP3S5vu2RO4WNGhZ8qQHulU=,my library,Local playlist more,local-library,1
rkaSbXUPiDK4M7mu3oNa30tLddbdM3tLAkB4VJin4h8=,N1knWSpAU8kavV+5Ue3T8nieJ8eI4KLZ1DxaaMkDuxQ=,my library,Local playlist more,local-library,1
2nt0umZtfJiAVK5U0/vwa6AAAYYAoRIWO77wbeVL7Lc=,nZfOFtSYC+GLxonZvSRoHuBc2J1VWCJYas3+TQ4r1cA=,my library,Local playlist more,local-library,1
hAKbX5zWjInp2Z8hbtQgDoZUe/E5BORFrj4I0YrvF8Y=,J1HIj0B2wLArKD1Wozfw6Ya5+DymxKCZqcH2OtMNeoI=,discover,Album more,album,0
YelHKBX8Re7wDCDvuNCcz33dqO3wrM8jye3L1lo/Fhw=,wOC3k05ydf9/8wlRWU7eu7SszQTO4FoIchEoWCj4EqY=,radio,Radio,radio,0
u+tYXaNX4Uue6YSbP/fSNjeoWd29MKeIBIsp0zD/hBU=,0tFPaTRYLazZZtCZFGsv3D/0/Wmr8kIbqeDhQ+865wc=,discover,Online playlist more,online-playlist,1
SKC8jsUsefqJm48O8QoEMGOoWi7+vfgUVz6GI1rgMLw=,J3kXNY/9YdIbYsPB7Xow18wCASSeC62UL6xkCy4+8Sc=,my library,Local playlist more,local-library,1
g5kqN4PWKf7XESPOKNXHuWt5GZb/1qfBcA8stp9FNrg=,O4vTIHOB/NzrOBP5ol43HLbpyt9rvrVJbrqKVGQH3NE=,my library,Local playlist more,local-library,1
QyDD3tWN4BIYqVAq9aQnHIeSLgFBbzJ3VAQ4nVgNTao=,y2Qf0/mvQ/Pwqqa8AcpkNELpdk/6J9iIk6YUgaLT8WU=,search,Album more,album,0
Z+w2gBnMlxGUzwZ9912TxeNR6LSdsvI2IrrUWEUR8Ho=,Lm/Z6804m3dP+/KgD2+iLJYqozeBwqttFpe5k8Jjg3U=,discover,Online playlist more,online-playlist,0
gadAQ3IhO9qQ56yqpkst/N6UHpVn5JiKFPwqxeUgFpA=,wHA1WU9XZ9xzuDbNq8w3kiltnmxAS1kMOVhBgbtIlgo=,my library,Local playlist more,local-playlist,0
vogx/mETEY0eS4iDkR9Ny+3ZIGEpN9r7ANAgF7pPPis=,9xoKhC5rU4nxqtvAKiQbZOWrHa78HkRSIYqfCVNzVJI=,search,Search,song,1
WITNr4ShFoVpLjf+11smD8mX43UQCHCAVIp6nsd3HWc=,uXohUmWuKd74X9J2nKL/XEw2Fgz+9x4o9JQX1HQO/YA=,my library,Local playlist more,local-library,1
L1tOhpoNmd8Uva+R8bWlJFBuBVmyJdzG3VaSNs0Khck=,reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,my library,Local playlist more,local-library,1
+fBmzvI/RVREFJRe0qrP2dFj1XwZ6DK8nkRUrzNk6PI=,irkZHHxQ5mGCIqSrw6Av02eLQBzCBV1/KeCXozhE3f4=,discover,Online playlist more,online-playlist,1
qXAYEk7vFoPL3kKMe1V+8tVnf9l3+Wa9R7xO3zsg/0I=,7dUiqNIuyM+aDRJEw3+ZSYydeZGAQ1AAI0eOd0Nzh8c=,my library,Local playlist more,local-library,1
fPh0abPc3u8Bvle2s+dB4ah0fs6B5Z8IyrHqTC8A3fU=,FWW4XY+gSlcMb6Q2NN9ROqHnI5X2JnA+NpGoWAxnhoo=,my library,Artist more,top-hits-for-artist,0
fF1BpTS9My5MnuyoyvS1reMa1LlWhqc+GtK6dnDWwDE=,XgLDH2I0dmKXQNQTMsNyGSy5oz+o6o6jPTqj0I8abFY=,search,Search,song,1
Jd2BHsBagvpjEPs9vbPOy4AMmS09NUomjimvjRnolzo=,mT+6xUxCqiuaAo32I+Xj2gsdL6G1AV/paSNXgh7bgk4=,my library,Local playlist more,local-library,1
ValXJ8QjlMqZ1tAZhFjkOEeKDnZOa2ovXPiLd1buyrI=,3DU6F6k6dFSdoQa2tsia5spMXFCxWh4JJdA3OxSo3rM=,discover,Discover Feature,online-playlist,1
o7GweBrSeKkg03ER84FK+ISI4r8IWn7jjZ974hFzAiA=,80hnDqhSe9u2uIaLvDh1tCbwryzDrsf789zgDDF+k+s=,my library,Local playlist more,local-library,1
mfrvraQur9nC7Ck4PjJkOXt3fjxY5xPquM08FcreokM=,ewIU1+3q6EKKDULJs6Sur/XO7a+iz54GdAfjvdXxhwY=,my library,Local playlist more,local-library,1
ajEBQZt7WU1zpLik6SckYHB/Gdn0z5CXlhorUWsMbVc=,K/46V11RwWlFLw9WGIMKn47gi6MX1Fx/zTV0FJt0208=,listen with,Others profile more,listen-with,0
/vHo5Ks1Trhlko1ARp1pT8f1cpi+gfZdMXh2d3dY5Jw=,7Zwpnogqhr5vEywLPo1vis/uScj21zG8ST6o3sAIBxY=,discover,Album more,album,1
MwFt0Tuc9pX8pJ+hNoY1TdMNtn5CzJts90uOiBbptbM=,Bc8j8OGsocL9DrLNg3xMICM3q3JJ2M2TTwdTlLWjgiE=,discover,,song-based-playlist,0
4FORGOO4l3MZfQYV7GTnz/1KYapQ7LOASj1b83rNYAQ=,5Py/JnOuvKBv0IFSSwRPcxgy/FeBNDgp45EKXVhZBbo=,discover,Online playlist more,online-playlist,0
MfAu5rJVFdtHAuslq5EofZM3e4MwGA4A8OJ45FLHmKM=,35BGgK8Aq5yhuhSDsN6M/IBt4uwXlUxUzByUGGpOZxE=,my library,Local playlist more,local-playlist,0
oJF4J8xxojE2BqK442+mRsy5UNSYqE3V293v+Sah7ZE=,6weJ/rL1DfrSrpa1CCIfkJxmVA7pv2qNUwMUfKNdYJU=,discover,Online playlist more,online-playlist,0
KEBtCbGf4gohq6MF3kMOJO++See//P7wISaekRYJehI=,A0t3F/l/3A5UvyPnNQNkrwJuW4vH7f/ttZZ9ud7eWx8=,my library,Local playlist more,local-library,0
r24iZl4EOcgTxExH3NbDunQuSKkxuP05caMspb6zoMw=,yEZkyepYs1w3+PHRVQe+ZC2rT+2S1qT46p3BzrFqhhA=,radio,Radio,radio,0
3ICV3QLrXKtY0t80LCKn/nHNbGjmPnWULo1KKSPzkqg=,PeoNUlUkZ0RTu4zbYdO6HbRqG/m5qMBqavKRutEfEtw=,discover,Online playlist more,online-playlist,1
ptxtPfr+rXR2vKUi2km386T2taX6hztxe7yYwhdXKm0=,g5slHyriTfZVYgbGzqp3c0MgY5ZQJaywvNmBlOq6fNk=,discover,Artist more,top-hits-for-artist,1
hVosMRB4zJdnEGlWZeJna92fkmb8p6QGSzmaKwZBNL8=,5NfLowUKcS+V//cVKNBj/OmkxziB9hdklHzbbuTE49Y=,listen with,Others profile more,listen-with,1
YKrwcWGzg+gbTIZsDkp2Rq2Sionf6UCvpJ6nDGYezb8=,mc4MVbYQA8OeR8Fy3QeQvpCtn7dn8Crf2StuNxWHmKI=,search,Artist more,top-hits-for-artist,0
TfbOmo5EfvfVubdBlhWbJk+SIU1N9uEJ8blr79Q5E4U=,WL4ipO3Mx9pxd4FMs69ha6o9541+fLeOow67Qkrfnro=,discover,Search,song,1
b8VLP4vetYe1eGh80WOV5Edp2c2vwp40nXBL5/BYa8E=,3MkaOgdxd4cuJmC1WHXb9q+dDrwenRvp2upvtEBJtcU=,my library,Local playlist more,local-library,1
flLcp1sH7SwMN9D1wMzJmAq2IC96PTJK3/K6VXl6yPM=,t87ORt2LfkuNIgYvA30ur1WXbeDS4/8mo7AOrc7aKzU=,discover,Search,online-playlist,1
KeKayJsvhKICHJGDAIDgo6f0YL4YpbDiCMcDoa/BG+4=,6TvLjCoGlGu2/KYW1V91T8EC6QcAQAfNZWESmslaYqs=,discover,Online playlist more,online-playlist,0
wJzizED+08MR+E1OaJxsEFOFrhfFmhrYfAoXjXlx/0c=,B4o9XjQJPJGGJr63sxzS4LUoQOrNhyVU1DersrYXRlI=,my library,Local playlist more,local-playlist,0
bVx1N9O4R/MCDIHJBazpngVQPMWPzNipoo4H/i+5Ym4=,1B0Ypp3HyluU6FKoWBhIjejhGIpcSY7As0exxdcIwnY=,my library,Local playlist more,local-playlist,0
HPwP8ApJLtLrSsh3+GXEndXWIYmTCV+qn3cza01t3QI=,kBAJcnQ60tymSP17qGf4s/6pL5sGFvecaLbWQyMEHek=,search,Album more,album,1
637aKJXdA7klYJe9okLcl/drHav3XUlK2uYR8GAclY8=,JiHWUXkERiCPai7GKXVal+Cns8SWC8Ft0+5NKSQdbfU=,discover,Discover Feature,online-playlist,1
LlhTPSCiKGJg2LY8UQGcYmJAxWXxoea7oclcS5mxsl0=,AyU+NHMfkl3i4KQlaVcu2Y5w4JS+yMgNapvCrDuQtmY=,search,Search,song,1
iGrpOu8PKTaHwydRSXtqJw3j+S6weT4DBS6hTSXxKEE=,SwEH58ngk/aUx7DEzdk/YC8d3Xqd7eSPt9qYZjqC6SM=,my library,Online playlist more,online-playlist,0
ZeAjoaTSpRDXbaKCDn/z/bRmhlPipXJ2ubtHbtGWsI4=,u6/Pb7X4u7KU4gXrBgGqt8RlRrNNFLn03tLAHyxRxwA=,discover,Online playlist more,online-playlist,0
TkMDFyNKrfVoOJZYh4Hs9VbAhc0AD3cWs5dG8LflO5Q=,JL1HvrfUadxD6/O9C7Rx0s//mAXZjGe/7shvjH6+Oys=,my library,Local playlist more,local-library,1
6hVgIhV31CwJ9PeWwTuTXhDDFdhwu2vxXzlbA2r8Jks=,XsG1Jg/5Ki86UeF5qRN/CPYiF0kxU0XnCwHH3q/h5lk=,my library,Local playlist more,local-library,0
zSR8w8rxPF9CG4peXRwdxUx/74LzmhMM9O1FlbsUtzU=,xOlRcgTO+TzAyTWIg62eybMlrj8eBv4tmPsqpY5kEIQ=,my library,Online playlist more,online-playlist,0
NJE5N7faYaxvvT3skXSx+oWxOVqzZgzG5bYDRlMP4NM=,w3A/p4h3kMJS2taq4AKTe7j3FhFh68IFxfDuL4qnPTw=,my library,Local playlist more,local-library,1
Q57YSyfG6gPrrALqGfpBEpl7s5namqEo4vWiixjjz2I=,5IdY2MN2AQOk9KCW8zFJukEokM8IMvAo9/1A5sEJCvk=,my library,Local playlist more,local-library,1
dDIheP4kNGjlOIYu77kYwiScEDAKwoUxKDC5dAl9fWA=,fwaxN4NL0q27tHQq4VEPCKVTywMIGqImrgRvFLnrVJw=,my library,Local playlist more,local-playlist,1
+XaA7eSr2dw98pu/idEKVTBg7U5DSJt07xEJMNh3yw4=,oYmHILUW+UKjU7eR0zRNlG7LLj84yGwtPS3BxDVwDFQ=,discover,Discover Feature,online-playlist,1
meT++h0ERKfVij29+3diU/4LeIgey0I5mzUsYO2WiaY=,7euXKodRkRLyGUcdT8lO5/65ktymJmgFhM1boHgyL5A=,my library,Local playlist more,local-library,1
dxh2wlWTJ13uisO5e3KLW9UN4R1pb9nxCpp9X5wwnYU=,Ca2uUnJITPYHZgLYn6VFNldMsu4kZTpdnrhX96rA0Fs=,my library,Local playlist more,local-library,1
t1Q3JP8BJFj9e/0FAhRmEipZx+grT4gGWqM9Jr3p+xo=,/RYwZD+IL/0YEgpu71HgW9q6c2A80gr/fC/j0BmYGvo=,discover,Discover Chart,online-playlist,1
OSJKAq0he1kfChPwSGOdVzKqiPYjeqHrjvRSK3+cHZ8=,/EVun+4P4md+rSWKGCb8vABmpZKlNXB2CHOhCi1OWEI=,discover,Online playlist more,online-playlist,0
2vACkFpkZ3pZeByM3cFSiATEHe1rrmKy+WCNl2fNdMU=,y/rsZ9DC7FwK5F2PK2D5mj+aOBUJAjuu3dZ14NgE0vM=,my library,Local playlist more,local-library,1
tDM/MJNwMiduuV9fVkhLFHI3yHr7HzU2EaaTRDesBfA=,KGvPG1W7MrnL9SCcjqFSR0SVI/hv7bq2KsTzgJQc+fk=,my library,Local playlist more,local-library,1
f2c4l3mhW4SmXKRP+OfPUdbQ4U8afe+gqcX9Dmh03Xs=,caXQoad48M9jS7s0V227KI5i0HnARffYKOxe0fYVtrM=,my library,,top-hits-for-artist,0
5E21baHKkizqVjCG0pquktgk/n0U4lgqTo+aAboDV1U=,VccULhKWV2b9K4FTEMunVLZCtSh/W7ao3wnCNKKcjQA=,radio,Radio,radio,1
5hq+3n6d73ph4g3pM96r0qZtY11lvAjtJd6jNgzkbpg=,IkWmgUFkyB9TL2dZPuhTkw6tdRszktHg+0u2kiiqdTw=,my library,Local playlist more,local-library,0
s8PWd1Q2KEfzpO3qJiFAYo0Zf/fBMmD4NyjOGukTyWA=,Ry/dyyXwPMsNbQQlD6PQJTp+zT/anH4CRFKG+dUQYYw=,discover,,song,0
1SV9M9CWpGO7w6mdG0xi2sAHFhcWgPmfgPiKQMuL33A=,Wi0kjTBakpXIWBbaT++vmtjDSEo06lhfiVO4KMSF5jc=,discover,Discover Genre,online-playlist,1
UGCe43LvpyBvdZ0MMaClMOdaKqdnsMBEZguemheF43w=,Knq4ruFJI2OJlOtotwq3fuWueMlXcUeS3oxVEYlKoC4=,discover,Online playlist more,online-playlist,1
rX7oPUJMqa6IbnpmRrNBfCqGqPxICI5AMDwKhfRmqLM=,L4OV+X+SVJgMYwreCNa4LJRHhkRTR+TT/C+n1h8lbZ8=,search,Search,song,1
TkTwMZqQ3BZBE/rwj5q0wVruqubXvEfMGV4Rv0zSzrs=,gb6kd/+jnW+/Xv+8lrn4lUxT0821LbHFamypEdfeXJY=,my library,Local playlist more,local-playlist,1
hrbEENQqJd6CJjRcV8Wz1Yrh/f5XZrUxzPVBwDARaXg=,JsyfC0B50ukW5lxJjpfOzVs6tztF3zLNHPsOyrkJqIU=,discover,Discover Feature,online-playlist,1
p8Ki95cgLumYiq3rjA9rkUY0oZwCJETgqfATbIWbW8I=,JL7dn5dzSdJBaQuj7PpcwoRgr0Av/FgIDJyb9CEAspM=,discover,Online playlist more,online-playlist,1
D3KGuQGi+vv3RfSyOzlrwhQuFlkilfJDL3ehzN+1kVQ=,J4qKkLIoW7aYACuTupHLAPZYmRp08en1AEux+GSUzdw=,my library,Local playlist more,local-library,0
jKYz6zsvtV5vz3q1kC4XRsZ7IFj1HHXHE9t/v23mgMs=,rCTm52G/P8kFuR1jpbSMEkeRny02LrN9SJwhvURFMvg=,my library,Local playlist more,local-library,1
4gM1M7nrRk6odVyJx9tXUKU0ucwCW0iIgPXMyBLUK/I=,BITuBuNyXQydJcjDL2BUnCu4/IXaJg5IPOuycc/4dtY=,my library,Local playlist more,local-library,1
q7krWLlMUXKXX+ouuQjJP/OM0tNBiuH45vKviTNUl6Q=,HOgRGqQ/vNlG9fIyqdUFwCND+kABFPMALYNbxrGo0CM=,my library,Local playlist more,local-library,0
odCM246Es49bl/iw+yRcu/5iAj24Yc2nxQhIWZ7+pz8=,eI/fppo6SzfnQ/zAbGxwgLQO3ImeYb/SEBqiRIsuleM=,my library,Local playlist more,local-playlist,1
WuEAMMLtQ5l57iXfaAf50UTlrd2Q8Cw/wg53wUdC/pc=,xEjg9Bs0QcYD3BBQrzPUk89Eb2jBCWu/aki+pOy6H0w=,my library,Local playlist more,local-library,0
jCBKjGFBfMaCEvh0hgAywia90W/0o9Gyf4rw74AxR1Q=,q5/Vwifgv0SGdEIyiMU2F0pIXkeCIW3w2xB8n4iMoS0=,my library,Local playlist more,local-library,1
a4aEMKA1bMIwfCarB0qN+Fjag8swMwFfXm6ri5KJvms=,ByXO3vGvXwTw7yI7ayD3BqMdfoMONMJsTNdr4HdqROY=,listen with,Others profile more,listen-with,1
l49SPru9KzNKnBIziaT8bLbSgkIaMiFIq4K1ixT7VF8=,qTyvtbeLdjBerVRlKnHa3kRR9mVtuHC+vFKYf705e7A=,discover,Online playlist more,online-playlist,1
fqisY7ZsIGJsn9sZWUi179xwp5Cb7iRGRWZTSJcO1LI=,aNiZAA88rWkKYac1TTOTfwAJMcubXx97cy5uEek4Wxc=,my library,Local playlist more,local-library,1
4abUL+lw0T5WFbdgeEyj8UHqyYxA7Exgw2tWiDJVSwY=,+Vhr141VXQ49Fghf7077mOBx7rm1NvcTQ2Q1UX0wJhM=,explore,Explore,online-playlist,0
x+YIyIx7j2kvgTmVII26NdJfIT48dEKtsfC/Abf16ko=,cy10N2j2sdY/X4BDUcMu2Iumfz7pV3tqE5iEaup2yGI=,search,Search,song,1
8Bz49nZfRIVrecphYYRj7q3atetT+w3L3rGzTO7l0zc=,tH5jLnskF2b+THuvDE6Eaj5MNB2usYn1sg6GND3VzAE=,my library,Local playlist more,local-library,0
pvyyg1bO/wbatD3fXN3OsXG86pRN3fEeT48C2ULtfd8=,STz3tainvJOHakFQyMUtDTywIwDQBqM1PpWJ11MIa+I=,explore,Local playlist more,local-library,0
6kjKB8hDbQjsdMdjWpY9hNeoMtxp/YwS9/8mZG7QLzY=,RVXHYsZsM0REE6fzZTiOYtS3gUlztguDgSJtxz6g9IM=,my library,Local playlist more,local-library,1
pEpFpxyq3HMPhnigrVONiQjDODv55gG1AfvBQIzwNGg=,ZN9agLRtUU2mNbUeODrPqLj+CNm7r3YaPleZzJH7ZyE=,my library,Local playlist more,local-playlist,1
tnHZ5jkViJScH62dqZoa6plNkSHZH0istp7Gbmf2ycI=,Nyo1WfqhS5tsZh56mElSKGi8iqFd29uf4gO46M97igI=,my library,Local playlist more,local-playlist,1
CE/RxFrnEcSicCbgU2YDpcOdHAfurFOlwviozpPStBs=,NTav5tFyi1kzWW8056PsaJAW7rh16JUAygKsoxXpNz4=,search,Album more,album,0
K/i9qSYd1E+EzKusHpa13m6YKNLbM6VklPBR33RUY4o=,THqGcrzQyUhBn1NI/+Iptc1vKtxBIEg0uA8iaoJnO1Q=,discover,Online playlist more,online-playlist,1
Rcs/p6Kn53+4utVbTQS+XaK85rKDeODcFRHrL8LCGKg=,35RylVW44DsI/DUaE3CEVMmV3CvcxC2uNfTPzeJjr10=,radio,Radio,radio,1
qH2uoTKcAaG1/en8NlxsNsdTXr4ttRiPuw/G4qqHPfI=,Gbi9NN1mv2Mr1AePsacdXZYWiH9nJgJjW/L2TjKLuxg=,my library,Local playlist more,local-library,1
JyxQaIHWJdHAi5+FSAoetgsHZ72jpdLtuSWNa8RJWOo=,M1UL1j1UAYxRyBLrTjRpU+LlnYaKn97fTEi58PlYuR0=,discover,Online playlist more,online-playlist,1
WvyTlvEGejIZV4UYAliqSPXWN0xkn/MT/rqqlVqXMJQ=,SrxaChtkW/h/nk6PXe8gaFbcCI5MI5ZcxruHwu2fqkg=,my library,Local playlist more,local-playlist,1
mvSKbgmoB8ZZdfuQVRE6lgLiTAmu3krDQl1ioZHmtJU=,WL4diO7IcaFJqvWN1tWFmvzjVKXJLHccQ6xdWX/hNM0=,my library,Local playlist more,local-playlist,0
0i7inf0avDVGvwTaOzeNRwOzG+Iy2IFrn3lLYHQvJBI=,p99/I9cN1757zVR5L5opZTUAemGkeb8c5vp69dRtPgQ=,my library,Local playlist more,local-library,1
QhFhcGYg4N/LGUUkcU9ofveScNKURjW+zKT2eof6gLQ=,pqcksxj9mjBUEnJOr5NqHNPRyZPj3FkuZakhGeDOtGA=,my library,Local playlist more,local-playlist,1
UIGDW1g6IiC5fIYFPY25n2vqV7XiwnIqKCfjAGtqkqA=,QGDoirP4DtBEmt1W2XIJJQAU+sMCqAIQ9E8fG4bnSFE=,my library,Local playlist more,local-library,0
oquFXXSEizE9XcIhgOUNZCiT8jCVd0wphBwqiSvvskE=,sCm0yLlUOpIbSqAK49NPNlbRkqZzXg9rSXlVJQM2m7w=,discover,,top-hits-for-artist,0
00qmlWC3H/cjf2Ig1li5xIO0VNDRgBX0f9ilouDBEZs=,MrNK+3LgotWE/6snwF3t+7itlGFLovdAQIck8upLGaU=,my library,Local playlist more,local-library,1
dl95Mp7//hpzmmyl1YlF00IUqi6pY9VQhbCTQvQtdUA=,Sb2AlcokNNB8/NfoJjK+C/N5lmET1mY6HAd781MxQy0=,discover,Discover Feature,song-based-playlist,0
CkcJmVeQEzW6xwXV4e66f71j728kHDOhl/uUVR1bj4Y=,FaTUlIiCh/6sEOasPm1vgIk9XqavgSGgRGYuOkzTF0o=,my library,Search Trends,song,0
KFrff+QvjNTiCfvGzbUGMUizIjskzCzhrxmHuzCMNq4=,GSzU4317vDd0bFvJKl/eBwZYQk6/SvGwzIcjw0XQjWY=,my library,Local playlist more,local-library,1
MgCIA8sRsFQ1jrxvCfohdOnwxz1LHtaXzkafEH+8tqo=,VDstDo5QY4AEUvoEUj2LaAFdHxVqop5kQ+I7YTmEmMQ=,my library,Local playlist more,local-playlist,1
tGVcRy0bzz5IvpMuKGTT6N2QiwULd0FgCtGOJyYT2kc=,NqDXNUDbjnBl5+EY9tua3VjXzWev2IpDTUWLAmDHt5Q=,my library,Album more,album,1
jHM4Ws8Sy3+sSoxKlueAuw1GjLQ/OxEt34k8gDEm2m4=,bjLWIsUb4CmBv0rxY6Vy2rR+fPiWOt8EcM1CkFWF1Lg=,my library,Local playlist more,local-library,0
QLB44lmvYVhDdM16GcQUbrGVoN6jq8C21oDqd+j+WCU=,GxnooAdCwO7evG39zxLSerpcSWWPp63LzdeXVYKw9uU=,search,Artist more,top-hits-for-artist,0
91J/ZoXnzZ5v0PH85pkD8XRZjsfLYTy082kHUO5nJFY=,rkzuqD+mx/cgL8JeLgnw28l0g+yftie/rECX8ltwYGY=,my library,Local playlist more,local-library,1
sodDgJHCf/24QP/Tti2ZRzqCUVVylnnW03u/kjpxoWA=,WsVr4mozaIQq9Tp8Ks0Iir3HIFTQQSpEDO1AmUIzdsc=,my library,Local playlist more,local-library,1
f8I6+5vZD2ZumetryyOEWBulPWsvFnMVVMjbN1Pz7TQ=,XuXfozJXVFhVVQ4J/bzaot1ciYX+qUgDLk2knM81qOc=,my library,,song,0
LKiRlx9CxYxRdNxvnknuV5w/aywYAYM/isTw0PgnhBM=,Nw03WxCFFjPMnXrZAZFyYTxc8uOEo2Sm+WWNi67yn+A=,my library,Local playlist more,local-library,1
DVZnLHtUkz2Axh6XpcDhr1dxwBOCMZ57yCyJ7TcbptI=,5erDHJoXLUzio+U+GuI/WaG/yfpUhTlpqfU+tcezEJ0=,my library,Local playlist more,local-playlist,1
GhWmla1oe/7wD5IYLMu7Zh+9Xj97Jx4IDCbzJA8rd5c=,1LbDsA5F30EJLA0XF6sf6kNm5DEysvzT17LcHKtSvS8=,discover,Online playlist more,online-playlist,0
23XN7H8vS4QPGiSf0n5lsfKHU0cN+bIzSrLNEsrwwBw=,kDLK+co6ahm4sT+OIxhal7HhNwgd8wOxZfxbOP++wrk=,my library,Local playlist more,local-library,1
Zi1xUwvrc8A/M4zNkTh0Mg9XIg2w56nc2JynyVmHUnI=,wlFx2b6gBToPPyzoCRdsGcXs4UKSneTBGsKDXfRpz90=,my library,Local playlist more,local-playlist,0
1VQJl4dZ0LFyHIHf1OErC0+bH2akp5z1FU7QY+NwyAw=,t1iz44Bys600zwNh4NMFFkwIHmea9UW+nbkN3lxfFo4=,my library,Local playlist more,local-library,1
6EnySwdxamEhFwIrPjoY/nO88GsYUm/Wa7w8NNOW41o=,9w9Hg+akRcT5MvdPrkcjhlSKIWonbPAGXBE+wg4i5sM=,listen with,Others profile more,song,1
gzzGyQQoN4B/qHSx52zHILt9oFsDvaorUpUgveVUiHg=,QJ+UzVCgmBYqjuz695uIrwKLNUflIa2VUnHRUxtKeMo=,discover,Online playlist more,online-playlist,1
mGDObQQojFOJfK2rJKcme282huuk0qDxBzWL22/qYbc=,Y1u2HWVJfg1FUrtYXL05dQ7HZp6ShHPAps9E/xuySrE=,my library,Local playlist more,local-library,0
9VfIxCh9IlPcvBWgs0FXIbUicA8Y6+8r9V0xSTHQL8E=,cRLGfNYKPgblMf/LFzU0fncS9jw4tgf4SHHNnfvSBU4=,my library,Local playlist more,local-playlist,1
tztToqZHSZdo7MxXj0ZbdF9nHgKkXhpAPgBRblKOQPs=,6d4bdLwQYlKxVbhBOnqaJ19z8rkrSuEmSfI8IQuBrJo=,search,Search,song,0
