msno,city,bd,gender,registered_via,registration_init_time,expiration_date
93w8uZBJMjXpbg2v0zmlIaigA6ckGV8xwZHsyt1Jyfc=,1,0,,7,20151205,20171004
qVYX9N1hpSVKFFmPb5By05GZQWl1y6n6cG6nkVlkoYU=,22,32,female,3,20150505,20170912
pxX1jZKzM/GWopw467GKw9caw3DudoIPcP3HPbykxMU=,13,39,female,9,20070915,20170927
Ec+UjJJanVDF6ueZlOUhv9xtZ2t2QsqOyeat7mV6GYs=,5,17,,4,20160623,20170224
HsrmDxxDgi+2jNCouqM9/tAMEharXQDjxs/TbGWBflM=,13,37,female,3,20140206,20171002
hfY5sJ1TRsEApk/J9YZBdJlyDa9b8k8W1DvfWwI0c7w=,15,30,male,9,20150518,20181009
AdiXflNcxZRCMXMOMSpqHLfg4pJ1tK+R1/dB54m+1Zc=,6,22,female,7,20130828,20171005
4nIb7satsBHrRhshypshjWgOlHYAY/H+SeEP/PB9hvE=,5,30,female,9,20050524,20170913
PZ3VALEw6ccNWhlvHMxDkz0n+JqaqlbRBc2HZ7IGRqU=,22,29,male,7,20110810,20170421
cqjRBV/jWN2ujhc+z/4tz+Mj6xEfflAAt6qBXCqxKvw=,1,0,,7,20160612,20170712
te07Ixf/QhvV/vPvg4DzqwdHV25tY8TnDVO4k30H9rs=,13,32,,7,20110422,20180907
6jK67EJWKI+RTN+Z15E2rjlkIDKZzY4F6j/hxV073LM=,14,25,female,7,20161224,20170923
iKkXLhWEA/jSY3TNBWeIjyx65vw2lfZZF6PQsxpGkoA=,1,0,,7,20110329,20171001
ee3/7oSsLbSmLRhA7Q22II7JFaSpHXulHmnVACDaG00=,14,24,male,9,20080610,20170930
X+bBWpYLvMEN6DlLIMOUh9zPdN0tAwPKyT5fpxPWH1o=,1,0,,7,20110629,20170916
5dqlI/cOXI7ECV5wVBKIkJGvgC+PHc351PtuSoqvI7I=,1,0,,7,20110705,20170913
q1gt9ZGPxYXDtJludyn4pbqhHUFlR6kfeaWSIzaJ8tE=,5,21,male,3,20120106,20170828
Cx7Ro+KLOEiKK6SEIbiGe5PMfAddO9+Q6R+piIgNahk=,1,0,,7,20140601,20171006
T5yPNVUhDdofegjqnuSshP4oYVN1p7Of7KNVnw79Nts=,1,0,,7,20160909,20170930
9i5svqiBA42tojUF+HhN8n6tCk94SeYt/Y37RNqlRak=,1,0,,7,20150711,20170710
yqyulthZUB00rpdRvuALiZLulQGBdrjhwiwHeGcCbAk=,4,20,female,9,20080714,20180126
zjfK+QvROfaXV/ateP6o6h/L723IRNujR7++hYYQX18=,6,26,female,9,20050923,20170907
5X4/y5gpFI2vRXUupTSll+V4D4plugFxIZ8bkSzeZ1A=,13,28,female,9,20110118,20171001
dz4JCG5mcOCvKFtcT+KHUrtyxLAYt1BmlH++mwmwQt0=,15,20,female,3,20140810,20161215
S+L9bOHUGO8Yrncy0JBl55BbiKEd7Cj/gjx7GznEppw=,4,39,female,9,20120916,20180515
V2n9zN4eFzZsL5KbkSVtUCgXJc1WOj6fie2QdI1zI/Y=,1,0,,7,20131121,20170917
Kirf/CwFa/55YMn/qQTt6fyTu1795s4FvXpB2ORUvyU=,11,29,male,9,20060628,20171027
Mue3orxlJaHmK07bXWDrchFW1f/Or6TLVfMwx9fO9aA=,5,22,female,4,20160202,20180519
Zq/Z6NBA5mkIRlhPNzCOT2WeC2GFufW4pKXW9HFOzIY=,1,0,,7,20120117,20170919
zF5b3vA6C11PxDeLcNKQOuDv2MhDibAnCbC/2xuCnak=,8,32,female,7,20140831,20170930
8Bjj4fHpp8I2cGs8AcPKBbaFzorjFQrPctbwKYvVWjE=,4,0,,9,20150217,20170824
P2J8jjQASO4fOCRS6+RcVIbwBjWf5TQHGT5U/80eOGs=,1,0,,7,20151012,20170912
znITOiPpK1+QrzSjYnsClwa1wWZnDVt2IbF54bxQV5k=,13,0,,9,20160531,20171003
vm6SRJnLJAAqXfeu4MvExYNEzro1KWsyBR/l35PhgGk=,1,0,,7,20111219,20170917
+9U5XsTQd6B+ol1h5wm87oMz/+cas2Eu3ig6h7HyH8s=,6,0,,9,20111209,20171019
T+FbAFbapWRG9QZQkxzW7qU0Dq4wTOfhniy/HJY1Lrw=,15,27,female,9,20111008,20171015
rqX6zkdFO6Zt43ZFAOhppQNW6fjT0qjjzuK9ojBhYBU=,13,25,male,9,20140128,20170621
vC06LtHfdYce6p+VvrnC6LuV2UM8kuOkQ35FDrtk58c=,1,0,,4,20160904,20170911
+U5ey3DcKP6kJcfdsqRuLBvKVfCe42Q4mZNiGloSZEc=,14,36,male,9,20110422,20170415
Z5JZQLERIsz+iFhU68Kshj00p7wH53YwlgBIgFiW6fs=,1,0,,4,20160903,20160906
v+6W9gVWeaWMlcEfwe1WAPh3YIWBYglL+srCh0YwMXY=,1,0,,7,20160819,20170821
Cl7poEppPmU+habIK5KDoDvJ+bwQF77FmLOIPRFB4d4=,21,30,female,9,20130708,20180126
mvSKbgmoB8ZZdfuQVRE6lgLiTAmu3krDQl1ioZHmtJU=,13,22,female,9,20141018,20170521
UCe/JflPmV7msJM1kCM/maPicvidR0zORADn8HZp7z4=,4,17,male,7,20140525,20171001
ZZLwULD2GsGjyGBYlkTQ59lHbIIbp32lUYe+H2Li3xE=,1,0,,7,20130614,20170915
Q2o+lLjAtjDsFW9ECUXyKD5RvOx7mvXOFiSqvBnJrtg=,1,0,,7,20160319,20170930
OKxeh6RtoPbnhhJndZ3R/pOZyKny+SUeExS6atQKjkg=,1,0,,7,20151004,20171004
rYSwzzbV7YRa8e4tZQvIQqy2v7RJQmdSbgProPaYMSg=,1,0,,7,20111227,20170930
CGmYeePW7F6UAQSEXlkqOENZxBcw+pKyMH37tSfmXpM=,1,0,,7,20151029,20170912
vHyJ3JBOH7v2r/jbXl75AslPmKSj20RURs1dy9EJeCo=,4,39,,7,20130527,20171004
sx7vPb8iGANHzF4BJmNpLLo/DWZ+m51jwhkVzy++9BQ=,1,0,,7,20121026,20171002
qrTXNuxXQgyZeMLCQgiGe0J/hrJlmLDT/nVT1kcQw9c=,1,0,,4,20170101,20170709
OlG1eHYEhLxtkUFCTq6JTfEPDeh3UYd6fcOn5XrFLfE=,1,0,,4,20161206,20161209
sWOeGb+pw+allUCrshyd16ksKUukt1fk6GN621O7xaw=,4,0,female,4,20160615,20170926
boMdx5lYxsM0L//EXN3ZzTCaucHh2BQku0N2TcbEkWU=,11,22,male,4,20160228,20170911
gvJ0N8gkqJwm4psewGcv/nwXEFe38jacQOz+oyzrmEQ=,1,0,,7,20130513,20171001
q4d//smSJ79wsJgUDt+7EWGtgeWwyNqeTSCLdgpqVFY=,1,0,,4,20161203,20161206
boMdx5lYxsM0L//EXN3ZzTCaucHh2BQku0N2TcbEkWU=,11,22,male,4,20160228,20170911
wf96EwGdS2S/VV2QlCHaMDe3rSRbJ8iVbihzQZ3ZiJ8=,6,22,female,7,20130610,20170818
O5TCM9EyB44Tm8ic1sq4/ek081qB/v5usq2ZWCf8Z1Y=,13,0,,9,20150705,20170906
4HbSYJ3aDcCtiLtCzEa3Wo1tBzVZKMqGYbBakTrxmHM=,18,28,male,7,20110923,20170911
3f7F+EbZOzLETluk6RKKXB6C2naG8FneXqj+C0n7ibU=,1,0,,7,20140120,20170908
9hin382e+lzX0dAtCEHCjk+s7iBAUYEgkueQ0CNgAdY=,1,0,,7,20150920,20170920
SQr8GFLUHYN1Nc7daXgvz25kCDSTuF2Ee5vw46cYNuc=,1,0,,4,20161017,20170923
5cYwGyDEbjyQAqbtKfOkJGYWg9d0ehhr5gjsJg5fTOA=,15,35,male,9,20040330,20171016
tNvUsQwOJX5OgGsBBN9to3vI+DoUc6S1BFgNXUaYoo0=,21,0,male,3,20140118,20171016
4yN0LVSIs4vOWUG4AfmXmdSQJmnnwNe/DJkEF5QWmxs=,22,26,male,7,20150827,20170618
fNWUw3MzREvFRDvafBut0TQkRq0CgNrZBTr4CT3bVK0=,1,0,,7,20120904,20170930
vGI0P03AYKZr3gq7pqKsPSza2lJMpCKeDt80F68cAhU=,12,29,male,9,20060710,20170919
iLxh04H5iaEBjWFEQOZU0Otf63w1bPftGoML3HX0mXI=,13,21,male,3,20130516,20170712
25e4Snd0lUSDm6A5GGS7fso1BGoeYtEF+IRgMewCcp0=,4,31,female,9,20080331,20170907
+ZCq61DmbeFLO8OqQ2o1px/AuRYfFmXfEJhr2ocNmSo=,18,34,male,9,20110222,20170930
w0GjwHIpsIXQeM/2wWGCPKaEfR339CzOHjp2yJ5kxXo=,13,29,female,9,20110611,20171022
nXAR55gCFrx26n9KF1o11YupgYTmk1iqfvGjBejSgys=,4,31,male,7,20130905,20170912
d9Q2/UcBJ3K6oupnt3bi2iE075S99mbXYbikBiBTduw=,1,0,,7,20111125,20170920
LLs4nHMuMdNCZ1nGBUszQuN16Wxs+AVzp75/IFK5M18=,1,0,,7,20140328,20170914
VE8ZRudqIj9zHOSXxGg3cLOBkbykv78DwWN6IXRusWo=,1,0,,7,20160829,20170918
iq748kwKIzvwVjbdCNhgeQX1yPhziRxRmIVoMR05J8w=,22,18,female,9,20150125,20171025
tlDYSKjNLdM81akUrCIdH9wefwp6FuO8fi6sgcDLg8o=,1,0,,4,20170108,20170421
D0v0tosTc9vHqcKMnmNslCPpa79Wd++k9UTb1bCTw+U=,6,28,male,9,20070508,20170930
Z7e3Wfs8s1p2oKuNuB06ltZbuKHxpVGSF4m0fHE9xIE=,1,0,,7,20151024,20170223
blpdcoss2Q6m0L6KWNJLLwxL36qJQGbhDoswC+le380=,6,29,female,9,20110315,20171218
aJCieq8pmOogip8BvPwdEtQfqamOmRotiXtMOAOniMc=,15,33,female,3,20120103,20171007
qMzo3fh+aKo4U//5NaArPYv+cpJwkuECXv2N1g0oBuQ=,6,25,male,9,20060704,20170920
9IU05+coWArqAw1B5vI4kqt1t57uzQgA+cQiLmea2ZA=,13,33,female,4,20160920,20170124
AEZNdJt0QGYpBlT97tdnNaNHW5SqpgJb70TFmeZBYbg=,12,0,female,4,20160310,20170727
az8xl4EhqJ8Zic1cTeJ1xnx2x9wIaQ5/e9HzjCxwbjA=,5,30,female,9,20130109,20180121
J+TdZ67fZ6RSok/vC++gDG/a7nkDZUtfdUco4xsoNog=,16,27,male,4,20161218,20170922
XIpjLNs4f/OHphnrSPoNmsrd45Al8pL0v74FgzDZHnQ=,4,23,female,9,20111029,20171002
lUARyCh6eFqnt27nLRsRwNsvhAqKFHYaeXvNBvIDePw=,1,0,,7,20141031,20170917
73q3/E5FIUwCSo9uPyhKcc1FNO9DqnaZqX7uDK5Rr7E=,1,0,,7,20160105,20171005
I66SJZORyO+z8t03K/oINMKPpZZ8jV616xCvlF8Vauw=,22,46,male,9,20070330,20170930
TIL9OklxKd/XDeFTStdt73/P/lLB1rgwvxZO7apHM5s=,22,0,male,9,20110805,20170613
ldiXa6MswEfBr4cHSXUHnrHQ2Gy0myBHj9bKoRQCvLc=,1,0,,7,20151110,20170910
seFTv30NlSrcLTG0IEMt4oyV+JR1/PuOHa1kUO8ryVs=,1,0,,7,20100429,20170910
a9NHfouBid+0BO41iVQef5whuUVElWSxFx862c3B+k0=,1,0,,4,20170110,20170113
6/M+4rLXPjkYI0e+E1jk1POfvujkWklintEUkOdFWJU=,13,0,,3,20121014,20171019
TD01KK8ApfCB7zozfeLRwgAPHI9/6VI69yLrbaun0k4=,20,22,male,7,20140821,20170920
eC4Djo6yY3S8sSWzZlufvXN/mfNyYaAXVpOorkb31W8=,5,17,female,4,20161127,20180426
ZEDt0hkaakvA0Z1LJ1y2BmApr4J1Jqu0cZjwaNEe75g=,9,50,female,9,20091217,20170930
3nWFLb+IVt1+0JcM73g0wIG2AHtyhsI5RlG7gHziOFA=,15,21,male,3,20120803,20170911
9EssdYdT4OkOnxKwRaeA0b0TNP7gGl85FM0VbpNlzRs=,1,0,,7,20111117,20170917
QC7Vw9wdSkTmIqUvxGURyy/5yU2imqKlJKQICUvG4TM=,22,22,male,9,20070426,20170930
LChy6xZxl+F7mfVs816i2As/V0wUClve1wBYFcTWmMs=,1,0,,7,20151108,20170912
59M4YMNOeU8kUTFk2vkE4jSDPg57DOrNnRNoAhmPQjg=,4,37,female,9,20101217,20171028
9vLLzp6SxC1nAl+9pQzKC4TjT+ToZ48IPfdqDgQXHfI=,13,37,male,7,20100615,20170919
yRQp+EKOe9weq02uzQrUtPnu8CeWLqt/mLsUTUi71lI=,14,20,female,9,20080811,20170909
Uc4HEXfknsX5WS12K6/IxLsEZ+vCP958ERYyukrymiw=,14,16,female,4,20160824,20171002
rYhrAFhLuSPjcs4dAcL6BJ4wio6X93wwGew4KAyUUyU=,22,25,female,3,20160327,20170330
3LnDzEQvLZqsS1Ub7OLoT7S8M9qS6JSVDU1UEnepvyI=,1,0,,7,20150605,20171006
MIXfvK6kQCL61dVBMwEhAicJnSM4kJKXGkRKuRxg3Fo=,1,0,,7,20130809,20171006
kV3xH9ThNOcXsCwh60LHqvd3G/CoiuFuglhtA3Cac5o=,1,0,,4,20170120,20170123
6uuUN6IEUX4gG30CX0lobD4/kXtGEu9DfEpsuZPyABg=,13,25,female,9,20041024,20170930
lexTJLsqYaTYA0C6XDSM70ZvfxB1ZH61XRIsIE+SXzk=,1,0,,4,20161212,20161215
46CiibKl1zOV/Zmp55PEbSjIatwSeJSx6V1epAzIND8=,1,0,,7,20150411,20170921
ToNwyrArhJ64q67QkwPOCcWMnQZoU+inQjJ/dy1N4v8=,5,0,,4,20151223,20180331
sHiWaaAnUNvTjlL8d8UWVOGldpXfMsuACMr830h817s=,14,35,female,7,20101012,20170403
6coaqFpzF/yOrqje4bFZnbz+lzf9WR83UACmKPx5hSE=,13,30,male,9,20080929,20170913
2xe3TGQKSzDxeRsnzXNOMhe2uzoMzo0g4qxeU7fawjE=,19,29,female,7,20160605,20171005
4SL8ybAyNvpghJ4ojsjKBYBrLUpm3eM/KEt70TvVu1Q=,5,42,female,9,20090823,20171108
oVF+gp+74GNUXrhGqVJgspRysUs0+BhwsPoXhrGSX50=,1,0,,7,20140929,20170930
gwRDIcbF3glSxxzs0ReSAhL5qezHN2Z4MMr29IBxeDo=,18,10,male,9,20080301,20170930
t78AaW//DIjyJj9j1ZqOKbIUvZSjc39vqn0owKxIiKA=,22,15,male,3,20161119,20161210
6uWcODEE4mCFQ9/UiXX3RYUD8F5kE+rVCVa01C5i8KY=,6,24,male,9,20060315,20180504
Nqsq0//4Lc29iwUSb+tGe+w3UcvQokeriElsE+/il8Y=,1,0,,7,20160602,20171001
UKBL05GhreoORqTbz9bJ4bst5QVy9UQ4bFV8Tko4dP0=,1,0,,7,20150731,20170918
UAXT7Ekgmjdz32GwkRkm7pvsM2Dk/xT5lU3XPR9Sd3w=,1,0,,7,20131126,20170930
/zvYQpm8plEPkrixn/UtxXdOC/lyJim9FL7JpBItiA4=,1,0,,4,20160813,20171003
Qf1R4C/TCxCn7VEw1uRQHvF6exx2gt8DdG4qqLiS/dE=,5,20,female,4,20161022,20170925
pIcInBrSIE6FFB4xz41xUgrZA1uiNaBj4iYMbZrfKiU=,4,15,male,4,20170118,20170211
2HPrrpeT8k73bpDAgkURED+wxHKAtk+CmxM8rmbWQ2s=,6,24,male,7,20101028,20170826
UIGDW1g6IiC5fIYFPY25n2vqV7XiwnIqKCfjAGtqkqA=,1,0,,7,20151130,20170930
boYnAja8RbyTmuyyVOY0Zw0fb2yvXOkV+BAHLJyeD+A=,13,32,female,7,20110404,20170924
h216MRiGWBVAPwDqEwWBRYrmjtpOK7MbnWCn2gl52/g=,1,0,,7,20130214,20170917
3pdqg3owN6OvKh5Kirf4GO+eSRpoWLWkxKbWd5L7unw=,16,25,male,9,20080914,20171105
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,23,female,9,20130518,20171202
Ir9j+K/JmZJ9elqnI9vPeWzTC9teYGcY3mjcbssEdOg=,6,24,female,9,20080817,20171002
6DqIRqMTQ71gXxWRxecrFSe3KHLdXsiQlzA0I5VzSNM=,1,0,,4,20161212,20170108
+6qXndZ2nMn0cyAWZlBfOBGVqolfO2CRo1MdVznK7Kg=,5,33,male,9,20071013,20170925
4QzpqULt3JT79hTBzv+7kx4Trh9wMRT3PAvHZB5IYSA=,4,23,male,7,20111003,20171017
v1LhGZzRFxYwWjW98zEG47ZGHfxiOK885mFyaRH2+CE=,6,29,male,9,20140909,20180225
T9vVTKtMOrRXcubcl0P54LhIvH4GEhfFD7c/O83F6Gw=,15,26,female,3,20140803,20180920
dh9DZ+d4UAOLmk/wRTRPktsKPfTo4R8vkAxIoOm66jA=,15,37,female,7,20110308,20171008
8hc4aXk39tbI0FC1lmkAd4w9EKzMGY/f9B1XfoV+LyQ=,12,20,male,7,20120711,20170912
SxTx/aSEteASJdtFYsHXDnxL4hLDTohOynChmg2pQAk=,5,36,female,7,20101005,20170930
dOgJWYT1QpHBf9DB/wsP0/aTbLLzNhuhKtcu8zYYvVU=,7,25,female,3,20130325,20171006
XjXnclI1XfRXNz665CIpClxB3W+8Q0ITX2MLhX1/Z/Y=,15,35,male,3,20130123,20181006
aZE7MvnB3MSYBmDwqp0648w7Km3OiZR459XLggghNHA=,19,28,male,9,20080116,20170716
+3RfkckBHS0oQrrjJj7p69bdwJak+qzKq0fhFaeXUxA=,15,22,male,9,20101205,20170930
XK8MM0JFsm7IPQJCS4/ZETwmFtQlanNOujNtVAaELi0=,11,24,female,9,20080330,20171028
hksACYWfIl8sDZFy2UDojfDNpOPzdqQlSmzLmZLDjrw=,13,0,,4,20161113,20171003
Vw4Umh6/qlsJDC/XMslyAxVvRgFJGHr53yb/nrmY1DU=,6,33,female,9,20070323,20170915
Gytn0lz9OGR2vGl/tSXA3rDUcNnU4TnxFcWb+iv2pXc=,6,27,female,7,20131012,20170917
XQ8Y+ccG/PBT7/PlsQReWZOUn6/Gu3HQkJxDDT+Nfl4=,1,0,,7,20160804,20171003
Yf8Mep6dKOLcu6Z+4qmupQZHnckJK18V5RC7aDusZDo=,1,0,,7,20160103,20171003
HVWHHNfjZLbDKWYM4sOIqXVhkVSQc5iaMbmTdGYMPzU=,3,0,,7,20101216,20170917
JXkYMYNrobJ3hctOnaKNM7NbhgmyxEWJZTBD4yehfCU=,13,21,female,3,20140927,20180723
mMitjS3sbwP/4n0PgCsDp/V1+1FJWinwXDl4vpqTleI=,4,37,female,9,20110617,20170930
qljEWgpUDxIw7Lpc9mpZSYjpH+RmsE3T6s0x852lzRY=,13,25,male,7,20130422,20180621
HfSLJAARw+OeU5/zQzAiL8pZLwP9Yc9HAdr+RDsxxUM=,1,0,,4,20161130,20161207
baemFqI4x+fpHweCJQeb64jdSmOWUKkJuwK5BrgcsX0=,1,0,,3,20130520,20171001
2B0Xu3dFx1ZNJxzMS4iV96uBqIrstiZgCliQrYwn6r4=,5,24,male,7,20130527,20171005
i5J1BuLYxp7JC9WIxUg/lqKqipdGW1K+OpcCKr9LFCg=,5,19,female,3,20120702,20170712
k4FVXwOW+H6GP5GPklub7jE6bgX4E5Xg9uIxq+BI9iY=,13,55,male,3,20161016,20171020
UTAElx4+rSh2QViTKHQhC40cphX7ZIYafAOMJOJCshY=,15,30,female,3,20120614,20180115
i2UvXe+9Oxh2YEX+3gseUScwwORIp1kCi0NXD7tNrew=,4,25,female,7,20121215,20171005
0YAw7DkmYfgWasWWDTiNYwzYG5j8cfYFF+mBmjbaZHM=,4,24,male,9,20111130,20170930
OqnHbTtm5kM0q7b+e08J1O/vhiBvPvP8plh0rXiWy2M=,5,32,female,3,20140711,20170730
4E+fxSftd6JX6JPT0sdTEdRBX6CJXjcIr1mqAogDDMY=,13,21,male,9,20120821,20171015
z3GLhn6vZtMsFVjLi0HJKoDaMkVLEdJAUzvP7PfkmcI=,22,27,female,9,20150131,20171007
zPS2J4y1ne30R29oksNhnp1PPWwtEMU86qnRBfT5iXY=,1,0,,7,20150429,20170913
daybnxjY6zEibn/6f+xMf7eKempmW9kQgfL7FeMNP4Y=,8,29,female,4,20161026,20171004
rgxU2C9oDWg8OJoaQdkN/hT0Hbz6Qf3tWYdeQpvJ670=,1,0,,4,20160808,20170909
EINQiIgePI370EbSi7rscX6V9UGAtKEkHpbVtudT+/k=,9,38,female,9,20140209,20170910
41QUGPb3b+1Hfeig9+50kBX+3bDY5hqaYXTPow7Qm6E=,1,0,,7,20151215,20171007
Hm6l+Iq1LNJMgVCzGLezUV+ObGR2EPXPadAHUcqhNbY=,1,0,,7,20151010,20170909
GAsSSNpS01hOH3hGoKDc6IQaHTE+712hFFNNTI3uTQs=,5,28,male,9,20070927,20170920
fD1pTjmZpseEd125hsPnd11FS2FyvRWCl7dyycp9rQg=,1,0,,7,20161219,20170918
eF38IDPL/1EWImfyiGj9XYbciclT//bJ4hAv4ZaBt84=,6,27,female,4,20160105,20170909
TGDlKZVOG9MZQTGjWm+qt77DQZ+HBiE6wc2OT5dWCtM=,13,36,female,9,20051229,20180904
942u+6C0SFVjPKUI1/sJkHSgH6DeP2h0Y48YhR6+IWY=,13,28,female,9,20100608,20170914
/zRCIpK6y4K3VgQownjTnDI/PNHQ5jvzTibkjVB/WKk=,22,20,female,3,20150820,20171107
bmIHjzNH7NKFQFogNY4gCOJix52kIRxHknmbSpb/y9U=,1,0,,7,20101221,20171005
MWyIWTazIjIOVwzNWWV5u60YywjmoM2ld02sru7BHRw=,13,20,male,3,20150722,20170924
u3PczL2ePkm2Wgeax62sgY++1FvMrMhxBw/vBU8dku4=,1,0,,7,20140215,20170916
9CVJdp5+rvwkBFF+peiYDFvvXZ+IRDzGPfw9ojU2XJ0=,1,0,,4,20170110,20170113
uA7h005WTDJTwS1Tv1uzmWcWTpt/7x7Xx8JydbeMi2U=,15,32,male,9,20140519,20171001
UGCe43LvpyBvdZ0MMaClMOdaKqdnsMBEZguemheF43w=,17,19,female,3,20140715,20170918
zeRxO4UpxTPGMCizm3/PsvllYN8q5WClJX2mwKdG0ec=,1,0,,7,20150902,20171001
HA5Fo4ulASCusi+puz9cwgHTizZJcX/+rPsZ9VU9hxk=,5,0,,7,20110616,20180224
9ypM5hf29PIQ4fdhdJWCVZWbcDl8+l/8FQOdx8ftZX4=,13,36,male,9,20080723,20171004
WExu0kKUPEC2AFRJwZ5Yx+JtrmIq7pbpgeoz9C58fEk=,1,0,,7,20131027,20170915
xaSPzpHG21RbnMuRecbNLlMQDEcETfOJUe2CBQ/eYoQ=,1,0,,7,20161003,20171002
E9jsIxPWhebfnR8cbqPgS+FxCt0zBSXP+72mYRFg0+U=,1,0,,7,20140331,20170930
1wiu2UfN0BNhHfPTrDS3S/rQkX/vnwDoKH6ODTUdH9k=,5,52,male,9,20111204,20180907
4abUL+lw0T5WFbdgeEyj8UHqyYxA7Exgw2tWiDJVSwY=,1,0,,4,20160622,20170911
DD3ndYBg9UE+0b1LlkXe+KJmuhuwWPCRy0Bq2+LMQ+8=,5,37,male,7,20110909,20170917
ebXTl3bcZ+/WDRTknyueV+XOCxl2hfm8pfWSvux3cyo=,11,35,female,9,20041105,20171002
aBVEpnvmrRIaB8vgUPSFLEQnap1+izOkcUZRkD2S6vY=,4,20,male,3,20160306,20171106
ErVR9H/o1ZBRAwFdffibVqu2TlXpCanAMQhpOhvmZCI=,13,15,male,4,20160625,20170630
WrmGS9tbHeqxk0MsEHWAsOGdA7/o5QuMT/zAmImvEe8=,15,21,female,9,20101206,20170913
8pMtB66EVpma8b7N84o/U8RDYw9y+A8TWXD+NPy8Fd8=,15,21,male,9,20130423,20170904
0NhKZfnYp21x6Us5pWMb5ob6AB59MzWU78v4iOGL/84=,1,0,,7,20150817,20170916
s3hkUAKQ0KzOgt+cfmuwoqBrwxpJnTxrfiVj18/YwcE=,1,0,,7,20140114,20170930
n95pTw3ydiyQ2feqJO6EtMY+TfMRNVcvzdjwTgWPou8=,5,29,male,9,20070408,20171012
ue1z09RtRBKwFvQdJ7gCWV7uKBdF+qezw63VIUIM9Ow=,13,20,female,7,20140312,20171003
v2aSqrNvMb5ywjBPRzLptr/FIeKAwHUK0a+UDRysSMk=,1,0,,9,20150217,20170917
2rkJQJacNmOUBKcIV2UTePoceBVH1yMp83N79pJpQ0g=,12,23,female,4,20161114,20170808
FfoXr6sWw0LkN86KA8/iJ4v9/CgWJyoindHL/+bz47Y=,5,28,male,9,20110613,20170930
lFQM2AQ0IIifeOgmnRDSFEuWfh7XQZm0Z+O6K696CQk=,5,35,female,9,20051231,20171018
3XajjOq/CUB+pB5/MbiGXmydUwIjPzbHJinxxmimNRA=,1,0,,7,20160226,20170930
jEtCSx6TMWWc5jPvbuy/MblECpBmmPdzkS17LLuQG2s=,8,30,male,9,20050630,20171027
rTRnQS/r4ShT0b4O+MibIwdjsMkoNKVDz9ZXxS0yCYg=,1,0,,7,20160905,20170714
OOUnJuX4SteRhUdJZ9B2DqtfiwsfcZVBefEhXLeBsFg=,13,43,female,9,20060522,20171022
vqfzMQtxd/OrXQuNWZJoOSBuz+dyy/DF9XOgtOyR8xY=,1,0,,7,20161208,20170908
xFzvgdnhGs1JESEUE3lmJLkXI7TIPwTTmLeqFatZf/8=,16,39,male,3,20140425,20170930
JcE6nt96Aw1/jHmbWCtv9qu6I4f+oSrJN6nOdQQdOd0=,1,0,,7,20150711,20170910
oLJ+T8kCC7ykaZiXV2FsIa9Jq9d4dDH5PB6tHM5d8/Y=,11,33,female,9,20141129,20170615
1d4acB2bhEZCFjSRwvO4ls8PrBtvNTlkcAcxYx8FcWE=,1,27,female,3,20150105,20170630
GfSXhTVP3oj7h0545L/5xh6jD+7edQ7AH0iprl7dYbc=,22,22,male,7,20131011,20170911
FTiXJf5f+azgki/mqVQvG6OSVRj/9x4WHBXFMihfKaw=,5,55,female,7,20141109,20170908
mbX4F88XvoyXow+Ja8/IGM8gFljXxjeiog7YT5g6sh0=,4,21,male,9,20121008,20170918
aqrRLbWmm6PGND/ryX0WL2QfGbGws6OglMTvBoK3e+4=,1,0,,7,20150726,20170930
6rUAw/R+/mrE74QkQMSPXZt8n4HSAj8hldrkwDuuUVg=,13,35,female,3,20111223,20171002
CNXczeEV9XVsjsbI366ZYki/lDwjyXDCkQQCGH/XsmI=,1,0,,7,20150314,20170917
bxncPc/oZfbJL15kfFMLefxa0qInEF2VEU4SHc0YH74=,13,26,female,9,20080217,20180626
nqpzAgT/pp9F3V3mwKtpHFrnPyubMO/l4i4XGQzlnj0=,22,29,male,3,20160227,20171029
S1biRHcv+ApiQ+8eA0x+erF6054pSTxMFUlAwdC/fw0=,15,22,male,9,20070827,20171001
BtlYlu6unJxrBmpxDn34u0AaFQbFuH7MOpfAEgoUw5U=,1,0,,4,20161224,20170806
L8UGPTaeoWRLZlMr2pjbL7zyubgdgoza3CXQ3b3JoJo=,1,0,,4,20170104,20170107
NIVQdDe8IFiJ2p8LCCxPYGep0EZEkbT5+rgUMjM1ULQ=,22,31,,9,20121112,20170927
LdNQe9L3ewHSp6yOrMAhLEjrKqiqNnw417zaatGlZr4=,4,34,male,7,20111228,20180411
dPcOnStyeGxZfFWOZB3Tns7gA56Cws3nZ76cjthqNIk=,1,0,,7,20161009,20170908
tqAn7duo3dSxNkG84T15HQFluTqXQwS/EYqIYu0CP3U=,10,36,female,9,20041003,20170911
YF/HQuAikr9zCNwMTfDj0M+E0JpCknqYK/Pd6HXGG/4=,16,28,male,9,20080124,20171109
dxagQZcRiQiPitG3K+uWyNqDzFmf++C5qiy4rkQ8K/A=,13,25,male,9,20080204,20180601
Ro7rid/GiUn7sYwDUUqa15q6GGhaaE3AzQ8d8lScIxo=,1,0,,7,20120117,20171002
XiVsXT316zcout2XExGChQwUSvRXgfFq65TRtmZbyQQ=,14,34,female,7,20140728,20171123
